trip_id,bike_id,start_time,duration_min,start_station,end_station,user_type
1,1102,2025-01-01 00:00:00,54,B,A,Subscriber
2,1435,2025-01-01 00:01:00,49,E,B,Subscriber
3,1860,2025-01-01 00:02:00,5,C,E,Customer
4,1270,2025-01-01 00:03:00,48,A,D,Customer
5,1106,2025-01-01 00:04:00,24,D,A,Customer
6,1071,2025-01-01 00:05:00,56,A,D,Customer
7,1700,2025-01-01 00:06:00,25,D,B,Customer
8,1020,2025-01-01 00:07:00,41,D,B,Subscriber
9,1614,2025-01-01 00:08:00,12,D,C,Subscriber
10,1121,2025-01-01 00:09:00,31,A,E,Subscriber
11,1466,2025-01-01 00:10:00,51,C,E,Subscriber
12,1214,2025-01-01 00:11:00,39,B,A,Customer
13,1330,2025-01-01 00:12:00,10,B,E,Subscriber
14,1458,2025-01-01 00:13:00,49,C,B,Subscriber
15,1087,2025-01-01 00:14:00,48,C,E,Customer
16,1372,2025-01-01 00:15:00,23,D,A,Subscriber
17,1099,2025-01-01 00:16:00,22,D,D,Customer
18,1871,2025-01-01 00:17:00,5,B,E,Subscriber
19,1663,2025-01-01 00:18:00,29,D,E,Customer
20,1130,2025-01-01 00:19:00,31,D,B,Customer
21,1661,2025-01-01 00:20:00,11,C,B,Subscriber
22,1308,2025-01-01 00:21:00,48,A,D,Subscriber
23,1769,2025-01-01 00:22:00,46,E,C,Subscriber
24,1343,2025-01-01 00:23:00,33,E,E,Subscriber
25,1491,2025-01-01 00:24:00,35,D,B,Subscriber
26,1413,2025-01-01 00:25:00,48,D,C,Customer
27,1805,2025-01-01 00:26:00,47,E,E,Customer
28,1385,2025-01-01 00:27:00,40,C,E,Customer
29,1191,2025-01-01 00:28:00,23,E,C,Customer
30,1955,2025-01-01 00:29:00,10,E,B,Subscriber
31,1276,2025-01-01 00:30:00,29,E,D,Customer
32,1160,2025-01-01 00:31:00,35,D,E,Subscriber
33,1459,2025-01-01 00:32:00,13,D,A,Customer
34,1313,2025-01-01 00:33:00,24,E,A,Subscriber
35,1021,2025-01-01 00:34:00,14,D,A,Subscriber
36,1252,2025-01-01 00:35:00,41,E,D,Subscriber
37,1747,2025-01-01 00:36:00,31,C,E,Subscriber
38,1856,2025-01-01 00:37:00,17,D,B,Customer
39,1560,2025-01-01 00:38:00,45,A,B,Customer
40,1474,2025-01-01 00:39:00,6,D,D,Customer
41,1058,2025-01-01 00:40:00,54,C,E,Customer
42,1510,2025-01-01 00:41:00,25,C,C,Customer
43,1681,2025-01-01 00:42:00,37,D,C,Customer
44,1475,2025-01-01 00:43:00,28,B,E,Subscriber
45,1699,2025-01-01 00:44:00,57,E,E,Customer
46,1975,2025-01-01 00:45:00,48,E,B,Subscriber
47,1782,2025-01-01 00:46:00,46,C,D,Subscriber
48,1189,2025-01-01 00:47:00,38,D,D,Subscriber
49,1957,2025-01-01 00:48:00,13,B,B,Customer
50,1686,2025-01-01 00:49:00,6,A,A,Subscriber
51,1957,2025-01-01 00:50:00,59,E,C,Customer
52,1562,2025-01-01 00:51:00,34,B,E,Customer
53,1875,2025-01-01 00:52:00,26,E,C,Customer
